#,PartRef,Mrf.Part#,Qty,Description,Value,Package,Distributor,Distrib.P/N
1,C12,Generic,1,Ceramic Capacitor,10pF,0603,,
2,"C2,C4",Generic,2,Ceramic Capacitor,22pF,0603,,
3,C15,Generic,1,Ceramic Capacitor,33pF,0603,,
4,"C10,C19,C22,C24,C26",Generic,5,Ceramic Capacitor,10nF,0603,,
5,"C9,C11,C13,C21,C23,C25",Generic,6,Ceramic Capacitor,100nF,0603,,
6,"C1,C7,C14",Generic,3,Ceramic Capacitor,1uF,0603,,
7,"C3,C5,C6,C8,C17,C20,C28,C29",Generic,8,Ceramic Capacitor,10uF,0603,,
8,"C16,C18",Generic,2,Tantalum Capacitor,100uF,AVX-B,,
9,D1,MBR120ESFT3G,1,Schottky Diode,,SOD-123,Digikey,MBR120ESFT3GOSCT-ND
10,D2,MMSZ5231BT1G,1,DIODE ZENER,5.1V 500MW,SOD-123,Digikey,MBR120ESFT3GOSCT-ND
11,D3,SMF05CT2G,1,Voltage Transient Suppressor Array,,SOT363,Digikey,SMF05CT2GOSCT-ND
12,L1,Generic,1,LED,Red,0805,,
13,L2,Generic,1,LED,Green,0805,,
14,L3,Generic,1,LED,Blue,0805,,
15,"R1,R3,R9",Generic,3,Resistor,100K,0603,,
16,"R2,R6,R7",Generic,3,Resistor,1K,0603,,
17,"R4,R5",Genric,2,Resistor,4.7K,0603,,
18,R8,Generic,1,Resistor,10K,0603,,
19,SW1,B3U-1000P,1,SWITCH TACTILE SPST,,SW2-2.6-3.0X2.5X1.2+0.4MM,Digikey,SW1020CT-ND
20,U1,ATSAMD21G18A-MU,1,ARM® Cortex®-M0+ SAM D21G Microcontroller,,QFN048,Digikey,ATSAMD21G18A-MU-ND
21,U2,SPX3819M5-L-3-0,1,Linear Voltage Regulator IC Positive Fixed 1 Output 3V 500mA SOT-23-5,,,Digikey,SPX3819M5-L-3-0/TR-ND
22,U3,MCP73831T-2ACI/OT,1,"Miniature Single-Cell, Fully Integrated Li-Ion, Li-Polymer Charge Management Controller",,,Digikey,MCP73831T-2ACI/OTCT-ND
23,U4,MPU-9250,1,GYRO/ACCEL/COMPASS/9-AXIS,,,Digikey,1428-1019-1-ND
24,U5,SIM868,1,GPS/GSM,,,,
25,U6,BMP280,1,SENSOR PRESSURE ABS,,,Digikey,828-1064-1-ND
26,X1,SMD-JSP-2P-2.0,1,SMD Male JST PH Connector 2P 2.0MM,,HW2-SMD-2.0-90D,Deegou Part Library,
27,X2,FC-135-32.7680KA-A3,1,CRYSTAL 32.7680KHZ 12.5PF SMD,,2P-SMD-3.2X1.5,Deegou Part Library,
28,X3,AO1SB141B1-067,1,MICR USB B SMD TH SHLL CONN RCPT,,MICRO-USB5+6P-SMD-0.65-AB,Deegou Part Library,
29,X4,104239-1430,1,microSD/Nano-SIM Combo Connector,,,Digikey,WM12957CT-ND
30,"X5,X6",20279-001E,2,U.FL RECEPTACLE SMT GLD M CONT REEL,,U-FL3P-SMD-2.6X2.6X1.0MM,Deegou Part Library,
